FeatureID	Kingdom	Phylum	Class	Order	Family	Genus
Otu002244	Bacteria	Proteobacteria	Betaproteobacteria	unclassified	unclassified	unclassified
Otu002245	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Vagococcus
Otu002246	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified
Otu002247	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified
Otu002248	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified
Otu002249	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified
Otu002250	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified
Otu002251	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia
Otu002252	Bacteria	Firmicutes	unclassified	unclassified	unclassified	unclassified
Otu002253	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified
Otu002254	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified
Otu002255	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified
Otu002256	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified
Otu002257	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified
Otu002258	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes
Otu002259	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes
Otu002260	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified
Otu002261	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified
Otu002262	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	unclassified
Otu002263	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified
Otu002264	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia
Otu002265	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia
Otu002266	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified
Otu002267	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus
Otu002268	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes
Otu002269	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified
Otu0022	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Otu002271	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified
Otu002272	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified
Otu002273	Bacteria	Firmicutes	Clostridia	unclassified	unclassified	unclassified
Otu002274	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Otu002275	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified
Otu002276	Bacteria	Firmicutes	unclassified	unclassified	unclassified	unclassified
Otu002277	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Otu002278	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptococcaceae_1	Peptococcus
Otu002279	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified
Otu002280	Bacteria	Bacteroidetes	unclassified	unclassified	unclassified	unclassified
Otu002281	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
Otu002282	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified
Otu002283	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Escherichia/Shigella
Otu002284	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified
